title,body
"Richiesta supporto per aggiornamenti di sicurezza,""Vi contatto per ricevere informazioni sugli ultimi aggiornamenti di sicurezza disponibili per la piattaforma."""
"Errore nella gestione delle code,""Il sistema presenta errori nella gestione delle code di elaborazione dei processi."""
"Problema di accesso da remoto,""Alcuni utenti non riescono ad accedere alla piattaforma da remoto."""
"Richiesta informazioni su integrazione ERP,""Vorrei ricevere dettagli sull’integrazione della piattaforma con sistemi ERP."""
"Errore di indicizzazione dati,""Si riscontrano problemi nell’indicizzazione dei dati che rallentano le ricerche."""
"Problema di visualizzazione mobile,""La piattaforma non viene visualizzata correttamente su dispositivi mobili."""
"Richiesta supporto per automazione,""Desideriamo supporto per automatizzare alcuni processi operativi."""
"Errore nella gestione dei ruoli,""I ruoli utente non vengono assegnati correttamente."""
"Problema di aggiornamento dashboard,""Le dashboard non si aggiornano in tempo reale."""
"Problema con attivazione contratto,""Il contratto risulta firmato ma non ancora attivo."""
"Richiesta supporto commerciale continuativo,""Avremmo bisogno di un supporto commerciale continuativo."""
"Errore applicazione condizioni speciali,""Le condizioni speciali concordate non sono state applicate."""
"Richiesta nuova offerta su misura,""Potete prepararci una nuova offerta su misura?"""
"Problema con gestione trattativa complessa,""La trattativa commerciale risulta complessa e rallentata."""
"Richiesta supporto per chiusura contratto,""Avremmo bisogno di supporto per arrivare alla chiusura del contratto."""
"Richiesta verifica saldo,""Potete verificare il saldo della nostra posizione?"""
"Fattura con data futura,""La fattura presenta una data futura non corretta."""
"Richiesta conferma chiusura fattura,""Potete confermare la chiusura della fattura?"""
"Richiesta estratto scadenziario,""Avremmo bisogno dello scadenziario aggiornato."""
